0.0889955 0.0866876 0.0796712      0 0 0      1.77991 1.73375 1.59342
1.07228 0.0998486 0.092832      1 0 0      1.44568 1.99697 1.85664
2.05936 0.108754 0.101737      2 0 0      1.18714 2.17508 2.03474
3.04764 0.115165 0.108148      3 0 0      0.952716 2.3033 2.16297
4.03655 0.119814 0.112797      4 0 0      0.731059 2.39627 2.25594
5.02587 0.123072 0.116055      5 0 0      0.517304 2.46143 2.3211
6.01543 0.125148 0.118132      6 0 0      0.308525 2.50297 2.36264
7.00513 0.12616 0.119144      7 0 0      0.10254 2.5232 2.38287
7.99487 0.12616 0.119144      8 0 0      -0.10254 2.5232 2.38287
8.98457 0.125148 0.118132      9 0 0      -0.308525 2.50297 2.36264
9.97413 0.123072 0.116055      10 0 0      -0.517304 2.46143 2.3211
10.9634 0.119814 0.112797      11 0 0      -0.731059 2.39627 2.25594
11.9524 0.115165 0.108148      12 0 0      -0.952716 2.3033 2.16297
12.9406 0.108754 0.101737      13 0 0      -1.18714 2.17508 2.03474
13.9277 0.0998486 0.092832      14 0 0      -1.44568 1.99697 1.85664
14.911 0.0866876 0.0796712      15 0 0      -1.77991 1.73375 1.59342
0.102156 1.06998 0.092832      0 1 0      2.04313 1.39952 1.85664
1.08194 1.07963 0.108887      1 1 0      1.6388 1.59264 2.17774
2.06645 1.08721 0.119503      2 1 0      1.32895 1.74421 2.39006
3.05287 1.09296 0.126985      3 1 0      1.05732 1.8592 2.53971
4.04033 1.09722 0.132332      4 1 0      0.806545 1.94441 2.64665
5.02842 1.10024 0.136044      5 1 0      0.568468 2.00474 2.72088
6.01691 1.10217 0.138395      6 1 0      0.338214 2.0434 2.7679
7.00561 1.10311 0.139536      7 1 0      0.112277 2.06228 2.79073
7.99439 1.10311 0.139536      8 1 0      -0.112277 2.06228 2.79073
8.98309 1.10217 0.138395      9 1 0      -0.338214 2.0434 2.7679
9.97158 1.10024 0.136044      10 1 0      -0.568468 2.00474 2.72088
10.9597 1.09722 0.132332      11 1 0      -0.806545 1.94441 2.64665
11.9471 1.09296 0.126985      12 1 0      -1.05732 1.8592 2.53971
12.9336 1.08721 0.119503      13 1 0      -1.32895 1.74421 2.39006
13.9181 1.07963 0.108887      14 1 0      -1.6388 1.59264 2.17774
14.8978 1.06998 0.092832      15 1 0      -2.04313 1.39952 1.85664
0.111062 2.05705 0.101737      0 2 0      2.22124 1.14098 2.03474
1.08952 2.06414 0.119503      1 2 0      1.79037 1.2828 2.39006
2.07246 2.07015 0.131374      2 2 0      1.44916 1.403 2.62748
3.05746 2.07495 0.139732      3 2 0      1.14929 1.49905 2.79465
4.04371 2.07862 0.145681      4 2 0      0.874165 1.57238 2.91363
5.03074 2.08126 0.149794      5 2 0      0.614754 1.62516 2.99588
6.01826 2.08296 0.152391      6 2 0      0.36521 1.6593 3.04783
7.00606 2.0838 0.15365      7 2 0      0.121149 1.67605 3.07301
7.99394 2.0838 0.15365      8 2 0      -0.121149 1.67605 3.07301
8.98174 2.08296 0.152391      9 2 0      -0.36521 1.6593 3.04783
9.96926 2.08126 0.149794      10 2 0      -0.614754 1.62516 2.99588
10.9563 2.07862 0.145681      11 2 0      -0.874165 1.57238 2.91363
11.9425 2.07495 0.139732      12 2 0      -1.14929 1.49905 2.79465
12.9275 2.07015 0.131374      13 2 0      -1.44916 1.403 2.62748
13.9105 2.06414 0.119503      14 2 0      -1.79037 1.2828 2.39006
14.8889 2.05705 0.101737      15 2 0      -2.22124 1.14098 2.03474
0.117473 3.04533 0.108148      0 3 0      2.34946 0.906558 2.16297
1.09527 3.05056 0.126985      1 3 0      1.90536 1.01116 2.53971
2.07726 3.05516 0.139732      2 3 0      1.54521 1.10313 2.79465
3.06127 3.05896 0.148756      3 3 0      1.22542 1.17926 2.97513
4.04657 3.06194 0.155188      4 3 0      0.931357 1.23889 3.10376
5.03272 3.06413 0.159633      5 3 0      0.654409 1.28255 3.19267
6.01943 3.06555 0.162439      6 3 0      0.388504 1.31107 3.24877
7.00644 3.06626 0.163797      7 3 0      0.128829 1.32514 3.27595
7.99356 3.06626 0.163797      8 3 0      -0.128829 1.32514 3.27595
8.98057 3.06555 0.162439      9 3 0      -0.388504 1.31107 3.24877
9.96728 3.06413 0.159633      10 3 0      -0.654409 1.28255 3.19267
10.9534 3.06194 0.155188      11 3 0      -0.931357 1.23889 3.10376
11.9387 3.05896 0.148756      12 3 0      -1.22542 1.17926 2.97513
12.9227 3.05516 0.139732      13 3 0      -1.54521 1.10313 2.79465
13.9047 3.05056 0.126985      14 3 0      -1.90536 1.01116 2.53971
14.8825 3.04533 0.108148      15 3 0      -2.34946 0.906558 2.16297
0.122122 4.03655 0.122121      0 4 0      2.44243 0.73106 2.44243
1.09953 4.04033 0.141657      1 4 0      1.99056 0.806545 2.83314
2.08093 4.04371 0.155006      2 4 0      1.61853 0.874164 3.10011
3.06425 4.04657 0.164512      3 4 0      1.28505 0.931357 3.29024
4.04885 4.04885 0.171309      4 4 0      0.976997 0.976997 3.42618
5.03432 4.05054 0.176013      5 4 0      0.686445 1.01088 3.52026
6.02037 4.05166 0.178984      6 4 0      0.407462 1.03321 3.57968
7.00675 4.05221 0.180423      7 4 0      0.135101 1.04429 3.60846
7.99325 4.05221 0.180423      8 4 0      -0.135101 1.04429 3.60846
8.97963 4.05166 0.178984      9 4 0      -0.407462 1.03321 3.57968
9.96568 4.05054 0.176013      10 4 0      -0.686445 1.01088 3.52026
10.9511 4.04885 0.171309      11 4 0      -0.976997 0.976997 3.42618
11.9357 4.04657 0.164512      12 4 0      -1.28505 0.931357 3.29024
12.9191 4.04371 0.155006      13 4 0      -1.61853 0.874164 3.10011
13.9005 4.04033 0.141657      14 4 0      -1.99056 0.806545 2.83314
14.8779 4.03655 0.122121      15 4 0      -2.44243 0.73106 2.44243
0.12538 5.02587 0.125379      0 5 0      2.50759 0.517304 2.50759
1.10255 5.02842 0.145368      1 5 0      2.0509 0.568468 2.90736
2.08357 5.03074 0.159118      2 5 0      1.67132 0.614754 3.18236
3.06644 5.03272 0.168957      3 5 0      1.32871 0.654409 3.37915
4.05054 5.03432 0.176013      4 5 0      1.01088 0.686445 3.52026
5.03552 5.03552 0.180905      5 5 0      0.710465 0.710465 3.6181
6.02109 5.03632 0.183997      6 5 0      0.421764 0.726409 3.67994
7.00699 5.03672 0.185496      7 5 0      0.139847 0.734348 3.70991
7.99301 5.03672 0.185496      8 5 0      -0.139847 0.734348 3.70991
8.97891 5.03632 0.183997      9 5 0      -0.421764 0.726409 3.67994
9.96448 5.03552 0.180905      10 5 0      -0.710465 0.710465 3.6181
10.9495 5.03432 0.176013      11 5 0      -1.01088 0.686445 3.52026
11.9336 5.03272 0.168957      12 5 0      -1.32871 0.654409 3.37915
12.9164 5.03074 0.159118      13 5 0      -1.67132 0.614754 3.18236
13.8975 5.02842 0.145368      14 5 0      -2.0509 0.568468 2.90736
14.8746 5.02587 0.125379      15 5 0      -2.50759 0.517304 2.50759
0.127456 6.01543 0.127456      0 6 0      2.54912 0.308525 2.54912
1.10448 6.01691 0.147719      1 6 0      2.08956 0.338214 2.95438
2.08527 6.01826 0.161716      2 6 0      1.70546 0.36521 3.23431
3.06786 6.01943 0.171763      3 6 0      1.35722 0.388504 3.43526
4.05166 6.02037 0.178984      4 6 0      1.03321 0.407462 3.57968
5.03632 6.02109 0.183997      5 6 0      0.726409 0.421764 3.67994
6.02156 6.02156 0.187168      6 6 0      0.431301 0.4313 3.74337
7.00715 6.0218 0.188706      7 6 0      0.143018 0.436062 3.77412
7.99285 6.0218 0.188706      8 6 0      -0.143018 0.436062 3.77412
8.97843 6.02156 0.187168      9 6 0      -0.431301 0.4313 3.74337
9.96368 6.02109 0.183997      10 6 0      -0.726409 0.421764 3.67994
10.9483 6.02037 0.178984      11 6 0      -1.03321 0.407462 3.57968
11.9321 6.01943 0.171763      12 6 0      -1.35722 0.388504 3.43526
12.9147 6.01826 0.161716      13 6 0      -1.70546 0.36521 3.23431
13.8955 6.01691 0.147719      14 6 0      -2.08956 0.338215 2.95438
14.8725 6.01543 0.127456      15 6 0      -2.54912 0.308525 2.54912
0.128468 7.00513 0.128468      0 7 0      2.56936 0.10254 2.56935
1.10542 7.00561 0.148861      1 7 0      2.10844 0.112277 2.97721
2.08611 7.00606 0.162974      2 7 0      1.7222 0.121149 3.25949
3.06856 7.00644 0.173122      3 7 0      1.37129 0.128829 3.46243
4.05221 7.00675 0.180423      4 7 0      1.04429 0.135101 3.60846
5.03672 7.00699 0.185496      5 7 0      0.734347 0.139847 3.70991
6.0218 7.00715 0.188706      6 7 0      0.436062 0.143018 3.77412
7.00723 7.00723 0.190263      7 7 0      0.144604 0.144604 3.80526
7.99277 7.00723 0.190263      8 7 0      -0.144604 0.144604 3.80526
8.9782 7.00715 0.188706      9 7 0      -0.436062 0.143018 3.77412
9.96328 7.00699 0.185496      10 7 0      -0.734347 0.139847 3.70991
10.9478 7.00675 0.180423      11 7 0      -1.04429 0.135101 3.60846
11.9314 7.00644 0.173122      12 7 0      -1.37129 0.128829 3.46243
12.9139 7.00606 0.162974      13 7 0      -1.7222 0.121149 3.25949
13.8946 7.00561 0.148861      14 7 0      -2.10844 0.112277 2.97721
14.8715 7.00513 0.128468      15 7 0      -2.56936 0.10254 2.56935
0.128468 7.99487 0.128468      0 8 0      2.56936 -0.10254 2.56935
1.10542 7.99439 0.148861      1 8 0      2.10844 -0.112277 2.97721
2.08611 7.99394 0.162974      2 8 0      1.72221 -0.121149 3.25949
3.06856 7.99356 0.173122      3 8 0      1.37129 -0.128829 3.46243
4.05221 7.99325 0.180423      4 8 0      1.04429 -0.135101 3.60846
5.03672 7.99301 0.185496      5 8 0      0.734347 -0.139847 3.70991
6.0218 7.99285 0.188706      6 8 0      0.436062 -0.143018 3.77412
7.00723 7.99277 0.190263      7 8 0      0.144604 -0.144604 3.80526
7.99277 7.99277 0.190263      8 8 0      -0.144604 -0.144604 3.80526
8.9782 7.99285 0.188706      9 8 0      -0.436062 -0.143018 3.77412
9.96328 7.99301 0.185496      10 8 0      -0.734348 -0.139847 3.70991
10.9478 7.99325 0.180423      11 8 0      -1.04429 -0.135101 3.60846
11.9314 7.99356 0.173122      12 8 0      -1.37129 -0.128829 3.46243
12.9139 7.99394 0.162974      13 8 0      -1.7222 -0.121149 3.25949
13.8946 7.99439 0.148861      14 8 0      -2.10844 -0.112277 2.97721
14.8715 7.99487 0.128468      15 8 0      -2.56936 -0.10254 2.56935
0.127456 8.98457 0.127456      0 9 0      2.54912 -0.308525 2.54912
1.10448 8.98309 0.147719      1 9 0      2.08956 -0.338214 2.95438
2.08527 8.98174 0.161716      2 9 0      1.70546 -0.36521 3.23431
3.06786 8.98057 0.171763      3 9 0      1.35722 -0.388504 3.43525
4.05166 8.97963 0.178984      4 9 0      1.03321 -0.407462 3.57967
5.03632 8.97891 0.183997      5 9 0      0.726409 -0.421764 3.67994
6.02156 8.97843 0.187168      6 9 0      0.431301 -0.431301 3.74337
7.00715 8.9782 0.188706      7 9 0      0.143018 -0.436062 3.77412
7.99285 8.9782 0.188706      8 9 0      -0.143018 -0.436062 3.77412
8.97843 8.97843 0.187168      9 9 0      -0.431301 -0.431301 3.74337
9.96368 8.97891 0.183997      10 9 0      -0.726409 -0.421764 3.67994
10.9483 8.97963 0.178984      11 9 0      -1.03321 -0.407462 3.57967
11.9321 8.98057 0.171763      12 9 0      -1.35722 -0.388504 3.43525
12.9147 8.98174 0.161715      13 9 0      -1.70546 -0.36521 3.23431
13.8955 8.98309 0.147719      14 9 0      -2.08956 -0.338214 2.95438
14.8725 8.98457 0.127456      15 9 0      -2.54912 -0.308525 2.54912
0.12538 9.97413 0.125379      0 10 0      2.50759 -0.517303 2.50759
1.10255 9.97158 0.145368      1 10 0      2.0509 -0.568468 2.90736
2.08357 9.96926 0.159118      2 10 0      1.67132 -0.614754 3.18236
3.06644 9.96728 0.168957      3 10 0      1.32871 -0.654408 3.37915
4.05054 9.96568 0.176013      4 10 0      1.01088 -0.686445 3.52026
5.03552 9.96448 0.180905      5 10 0      0.710465 -0.710465 3.6181
6.02109 9.96368 0.183997      6 10 0      0.421764 -0.726409 3.67994
7.00699 9.96328 0.185496      7 10 0      0.139847 -0.734347 3.70991
7.99301 9.96328 0.185496      8 10 0      -0.139847 -0.734347 3.70991
8.97891 9.96368 0.183997      9 10 0      -0.421764 -0.726409 3.67994
9.96448 9.96448 0.180905      10 10 0      -0.710465 -0.710465 3.6181
10.9495 9.96568 0.176013      11 10 0      -1.01088 -0.686445 3.52026
11.9336 9.96728 0.168957      12 10 0      -1.32871 -0.654408 3.37914
12.9164 9.96926 0.159118      13 10 0      -1.67132 -0.614754 3.18236
13.8975 9.97158 0.145368      14 10 0      -2.0509 -0.568468 2.90736
14.8746 9.97413 0.125379      15 10 0      -2.50759 -0.517303 2.50759
0.122122 10.9634 0.122121      0 11 0      2.44243 -0.73106 2.44243
1.09953 10.9597 0.141657      1 11 0      1.99057 -0.806545 2.83314
2.08093 10.9563 0.155005      2 11 0      1.61853 -0.874164 3.10011
3.06425 10.9534 0.164512      3 11 0      1.28505 -0.931357 3.29024
4.04885 10.9511 0.171309      4 11 0      0.976997 -0.976997 3.42618
5.03432 10.9495 0.176013      5 11 0      0.686445 -1.01088 3.52026
6.02037 10.9483 0.178984      6 11 0      0.407462 -1.03321 3.57968
7.00675 10.9478 0.180423      7 11 0      0.135101 -1.04429 3.60846
7.99325 10.9478 0.180423      8 11 0      -0.135101 -1.04429 3.60846
8.97963 10.9483 0.178984      9 11 0      -0.407462 -1.03321 3.57968
9.96568 10.9495 0.176013      10 11 0      -0.686445 -1.01088 3.52026
10.9511 10.9511 0.171309      11 11 0      -0.976997 -0.976997 3.42618
11.9357 10.9534 0.164512      12 11 0      -1.28505 -0.931357 3.29024
12.9191 10.9563 0.155005      13 11 0      -1.61853 -0.874165 3.10011
13.9005 10.9597 0.141657      14 11 0      -1.99057 -0.806545 2.83314
14.8779 10.9634 0.122121      15 11 0      -2.44243 -0.73106 2.44243
0.117473 11.9524 0.117473      0 12 0      2.34946 -0.952715 2.34945
1.09527 11.9471 0.13631      1 12 0      1.90536 -1.05732 2.7262
2.07726 11.9425 0.149057      2 12 0      1.54521 -1.14929 2.98113
3.06127 11.9387 0.158081      3 12 0      1.22542 -1.22542 3.16161
4.04657 11.9357 0.164512      4 12 0      0.931357 -1.28505 3.29024
5.03272 11.9336 0.168957      5 12 0      0.654409 -1.32871 3.37915
