Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       47     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.00     0.00       47     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.00     0.00       29     0.00     0.00  cl::detail::errHandler(int, char const*)
  0.00      0.00     0.00       10     0.00     0.00  cl::Memory::~Memory()
  0.00      0.00     0.00       10     0.00     0.00  cl::detail::Wrapper<_cl_mem*>::~Wrapper()
  0.00      0.00     0.00        9     0.00     0.00  cl::Buffer::~Buffer()
  0.00      0.00     0.00        9     0.00     0.00  cl::detail::ReferenceHandler<_cl_mem*>::release(_cl_mem*)
  0.00      0.00     0.00        9     0.00     0.00  cl::detail::Wrapper<_cl_mem*>::release() const
  0.00      0.00     0.00        7     0.00     0.00  cl::Memory::Memory()
  0.00      0.00     0.00        7     0.00     0.00  cl::detail::Wrapper<_cl_mem*>::Wrapper()
  0.00      0.00     0.00        6     0.00     0.00  cl::detail::ReferenceHandler<_cl_mem*>::retain(_cl_mem*)
  0.00      0.00     0.00        6     0.00     0.00  cl::detail::Wrapper<_cl_mem*>::retain() const
  0.00      0.00     0.00        6     0.00     0.00  std::_Vector_base<cl::Device, std::allocator<cl::Device> >::_M_get_Tp_allocator()
  0.00      0.00     0.00        5     0.00     0.00  cl::detail::Wrapper<_cl_context*>::operator()() const
  0.00      0.00     0.00        4     0.00     0.00  cl::detail::Wrapper<_cl_mem*>::operator()() const
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<cl::Device const*, std::vector<cl::Device, std::allocator<cl::Device> > >::base() const
  0.00      0.00     0.00        4     0.00     0.00  void std::_Destroy_aux<false>::__destroy<cl::Device*>(cl::Device*, cl::Device*)
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<cl::Device, std::allocator<cl::Device> >::_M_deallocate(cl::Device*, unsigned long)
  0.00      0.00     0.00        4     0.00     0.00  cl::Device* std::__addressof<cl::Device>(cl::Device&)
  0.00      0.00     0.00        4     0.00     0.00  void std::_Destroy<cl::Device*>(cl::Device*, cl::Device*)
  0.00      0.00     0.00        4     0.00     0.00  void std::_Destroy<cl::Device*, cl::Device>(cl::Device*, cl::Device*, std::allocator<cl::Device>&)
  0.00      0.00     0.00        4     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00        3     0.00     0.00  cl::Buffer::Buffer(cl::Context const&, unsigned long, unsigned long, void*, int*)
  0.00      0.00     0.00        3     0.00     0.00  cl::Buffer::Buffer(cl::Buffer const&)
  0.00      0.00     0.00        3     0.00     0.00  cl::Buffer::Buffer()
  0.00      0.00     0.00        3     0.00     0.00  cl::Buffer::operator=(cl::Buffer const&)
