539.971 -280.493      539.954 -278.581      0.0173459 -1.91297
411.757 528.036      411.743 528.075      0.0144697 -0.03755
981.721 515.997      981.904 515.517      -0.176662 0.482186
-228.768 953.986      -227.93 953.357      -0.837906 0.628836
-232.439 80.802      -231.986 81.6722      -0.452674 -0.870106
1104.56 997.831      1104.02 997.795      0.544217 0.0353485
87.2453 553.793      87.5676 554.086      -0.322321 -0.292802
961.079 211.728      961.144 211.818      -0.0651106 -0.089179
-50.092 0.0646181      -49.6999 1.10468      -0.393705 -1.04162
-532.404 835.687      -531.031 835.701      -1.37156 -0.014403
1023.37 -213.228      1022.59 -212.078      0.786027 -1.14916
955.414 98.0616      954.406 98.8279      1.00862 -0.766245
2054.23 48.669      2052.17 49.3513      2.06279 -0.682299
1127.03 453.316      1126.28 453.372      0.75393 -0.0557066
21.2154 365.376      21.8361 365.84      -0.620513 -0.46411
566.375 684.87      566.422 685.351      -0.0488397 -0.481659
755.141 170.606      754.724 171.237      0.416325 -0.630581
757.355 347.719      756.927 348.222      0.428028 -0.503043
465.007 232.889      464.729 233.292      0.279107 -0.402853
-164.893 -75.9957      -164.347 -75.1906      -0.546089 -0.804987
-470.19 456.852      -468.998 456.84      -1.19172 0.0119614
643.14 -173.247      642.92 -172.03      0.220188 -1.21588
244.88 389.08      244.374 389.46      0.511078 -0.377987
-285.245 523.65      -284.204 523.409      -1.04047 0.240123
-92.5049 772.794      -91.8517 772.402      -0.652936 0.392895
-97.3327 486.511      -96.7541 486.639      -0.579706 -0.129447
217.747 738.03      217.707 737.504      0.0403664 0.526074
-363.457 -509.559      -362.311 -508.193      -1.1461 -1.36617
-403.572 548.44      -402.761 548.295      -0.811513 0.145041
30.4499 -243.059      31.1654 -241.969      -0.715227 -1.08973
-94.2598 635.565      -93.9615 636.009      -0.299571 -0.444042
1227.46 335.182      1226.43 335.514      1.03849 -0.331321
1939.34 1527.93      1936.88 1526.28      2.453 1.65451
1686.4 1743.73      1684.28 1741.87      2.12709 1.8554
1541.23 1476.14      1539.5 1474.83      1.73472 1.31096
958.404 1675.89      957.742 1674.32      0.661765 1.56228
1854.78 1162.42      1853.09 1161.5      1.69432 0.917813
2498.87 1810.93      2496.1 1809.12      2.77051 1.80305
1925.22 1258.04      1923.26 1257.14      1.95625 0.900563
1524.94 850.314      1523.61 850.166      1.33753 0.148031
1349.99 791.652      1349.19 791.552      0.8037 0.0997327
1552.43 562.134      1551.14 562.129      1.28786 0.00419615
499.047 131.825      499.608 132.488      -0.560802 -0.662324
1132.48 -264.292      1131.98 -262.851      0.506146 -1.44073
231.955 829.088      232.475 828.145      -0.514434 0.943813
1622.41 1123.59      1620.84 1122.3      1.56914 1.30777
454.735 780.591      455.044 780.406      -0.308642 0.185041
198.37 234.211      199.268 234.231      -0.898164 -0.0206467
660.312 1198.48      659.789 1197.78      0.52318 0.696057
1189.83 954.961      1189.1 954.095      0.739754 0.866349
-542.851 864.665      -541.397 864.246      -1.45422 0.41934
292.652 756.21      292.341 755.936      0.310724 0.274909
527.603 568.492      528.394 568.715      -0.808731 -0.205856
-327.983 1029.62      -327.072 1029.01      -0.909841 0.611062
-22.3732 -117.116      -22.3723 -116.464      -0.000883282 -0.651563
919.462 -119.685      918.826 -118.782      0.635997 -0.903318
-555.793 1009.42      -554.759 1008.9      -1.03355 0.518965
366.319 -175.788      366.426 -174.988      -0.106741 -0.799573
-727.132 392.093      -725.815 392.607      -1.31656 -0.513497
-1349.43 731.681      -1346.88 731.527      -2.54164 0.153489
256.484 -725.599      256.478 -723.76      0.00590342 -1.83853
4.64867 389.844      5.24572 390.377      -0.596991 -0.533622
-613.226 1892.12      -611.72 1890.12      -1.50636 1.99979
-277.096 1896.81      -276.133 1894.86      -0.963307 1.95282
-6.21081 981.778      -5.42304 981.666      -0.787639 0.112382
568.506 1341.32      568.549 1340.1      -0.0429629 1.21959
652.596 -384.227      652.66 -382.769      -0.0640173 -1.4575
1042.06 576.603      1041.99 576.29      0.0646866 0.315061
825.341 269.873      825.44 270.402      -0.0993293 -0.528696
357.921 -63.2196      358.095 -62.2324      -0.173324 -0.986352
1024.72 717.62      1024.56 717.661      0.15838 -0.0397056
585.587 768.091      586.178 767.409      -0.592132 0.681744
1727.53 474.339      1725.57 474.415      1.95767 -0.076676
848.339 707.007      848.333 706.639      0.0060931 0.368396
-93.9239 -109.187      -93.2354 -108.19      -0.688189 -0.996075
-348.934 675.76      -347.447 675.913      -1.48642 -0.153239
897.936 102.891      897.396 103.977      0.538372 -1.0855
673.282 1533.74      672.764 1532.35      0.51747 1.39782
865.952 132.301      865.263 132.59      0.688133 -0.288085
646.809 462.028      646.771 462.315      0.0373767 -0.285802
1609.5 903.021      1607.86 902.73      1.64155 0.289991
987.274 284.877      986.653 285.508      0.620249 -0.630639
935.109 145.727      934.73 145.888      0.378835 -0.161315
939.33 -282.032      938.69 -281.032      0.640398 -1.0004
287.157 2662.74      287.548 2659.64      -0.390369 3.10828
389.6 987.291      389.838 987.23      -0.237723 0.0605458
-980.894 1109.41      -979.096 1108.64      -1.79802 0.771379
129.915 -30.7175      129.985 -30.2193      -0.0704416 -0.497829
1318.88 975.122      1317.57 974.686      1.31676 0.435839
1238.12 118.928      1237.24 119.751      0.883851 -0.822481
249.923 923.209      249.801 922.563      0.123317 0.64613
496.841 265.872      496.346 266.004      0.494218 -0.131241
-195.465 805.517      -194.989 805.523      -0.475693 -0.00574327
-138.728 854.637      -138.199 854.823      -0.528287 -0.186383
-162.219 769      -161.983 768.992      -0.235317 0.00818837
453.725 759.3      453.499 759.713      0.226452 -0.414053
1122.84 591.953      1122.23 592.526      0.609502 -0.574175
1625.88 1395.17      1624.46 1394.29      1.41748 0.875846
